ImageId,Label
1,5
2,0
3,1
4,1
5,9
6,2
7,1
8,3
9,1
10,1
11,3
12,5
13,3
14,6
15,1
16,7
17,2
18,8
19,1
20,9
21,4
22,0
23,7
24,1
25,1
26,2
27,4
28,3
29,2
30,7
31,3
32,8
33,1
34,9
35,7
36,5
37,6
38,0
39,7
40,1
41,1
42,8
43,7
44,9
45,3
46,9
47,8
48,5
49,9
50,3
51,3
52,0
53,7
54,7
55,9
56,8
57,0
58,9
59,4
60,1
61,4
62,1
63,6
64,0
65,1
66,5
67,6
68,7
69,0
70,7
71,1
72,7
73,1
74,6
75,3
76,1
77,2
78,1
79,1
80,7
81,8
82,7
83,2
84,1
85,7
86,8
87,3
88,9
89,0
90,4
91,6
92,7
93,1
94,6
95,8
96,1
97,7
98,8
99,3
100,1
101,7
102,7
103,1
104,7
105,1
106,1
107,6
108,3
109,0
110,2
111,9
112,3
113,1
114,1
115,0
116,4
117,9
118,2
119,0
120,0
121,2
122,0
123,2
124,7
125,1
126,8
127,6
128,4
129,1
130,6
131,3
132,4
133,1
134,9
135,7
136,3
137,3
138,8
139,5
140,4
141,7
142,7
143,1
144,2
145,8
146,5
147,8
148,1
149,7
150,3
151,4
152,1
153,1
154,9
155,9
156,1
157,0
158,3
159,7
160,2
161,8
162,2
163,9
164,7
165,4
166,6
167,1
168,9
169,7
170,1
171,9
172,2
173,7
174,5
175,1
176,5
177,9
178,7
179,7
180,3
181,1
182,3
183,5
184,9
185,7
186,7
187,6
188,2
189,8
190,2
191,2
192,5
193,0
194,7
195,4
196,9
197,7
198,8
199,3
200,2
201,1
202,1
203,8
204,3
205,1
206,1
207,0
208,3
209,1
210,0
211,0
212,1
213,7
214,2
215,7
216,3
217,7
218,1
219,6
220,5
221,2
222,6
223,1
224,7
225,7
226,8
227,9
228,9
229,3
230,0
231,7
232,1
233,7
234,2
235,0
236,3
237,5
238,4
239,6
240,5
241,8
242,6
243,3
244,7
245,5
246,8
247,0
248,9
249,1
250,0
251,3
252,1
253,2
254,2
255,3
256,3
257,1
258,1
259,7
260,5
261,0
262,1
263,2
264,7
265,9
266,8
267,5
268,9
269,2
270,1
271,1
272,1
273,4
274,5
275,1
276,1
277,1
278,2
279,5
280,3
281,9
282,3
283,9
284,0
285,5
286,9
287,6
288,5
289,7
290,1
291,1
292,3
293,1
294,0
295,4
296,8
297,0
298,1
299,3
300,6
301,8
302,7
303,1
304,0
305,7
306,7
307,5
308,7
309,2
310,1
311,1
312,1
313,8
314,9
315,1
316,1
317,5
318,2
319,7
320,9
321,0
322,3
323,9
324,6
325,7
326,2
327,1
328,3
329,5
330,4
331,3
332,1
333,5
334,8
335,9
336,5
337,1
338,7
339,1
340,2
341,7
342,3
343,1
344,8
345,9
346,1
347,9
348,2
349,8
350,7
351,9
352,1
353,8
354,7
355,1
356,1
357,3
358,1
359,1
360,0
361,2
362,3
363,9
364,1
365,9
366,2
367,1
368,1
369,8
370,4
371,7
372,7
373,1
374,1
375,9
376,2
377,8
378,7
379,2
380,1
381,4
382,2
383,1
384,9
385,7
386,2
387,8
388,7
389,1
390,9
391,2
392,2
393,3
394,8
395,1
396,1
397,6
398,1
399,1
400,1
401,2
402,1
403,4
404,5
405,8
406,3
407,1
408,5
409,1
410,9
411,2
412,7
413,7
414,1
415,1
416,8
417,1
418,5
419,8
420,9
421,5
422,1
423,7
424,9
425,9
426,3
427,7
428,0
429,9
430,0
431,6
432,6
433,2
434,3
435,9
436,0
437,7
438,5
439,4
440,8
441,0
442,9
443,1
